"","Identifier","Source","Museum_number","Family","Genus","Species","English_name","Latitude","Longitude","Accuracy","Location","Date","Month","Year","Historic"
"1",4584,"iNaturalist","2732739","Atractaspididae","Amblyodipsas","concolor","KwaZulu-Natal Purple-glossed Snake",-26.5068,31.2498,1,"Manzini","23-Apr-07",4,2007,""
"2",1091,"EAF","","Atractaspididae","Amblyodipsas","concolor","KwaZulu-Natal Purple-glossed Snake",-25.948,31.133,2,"Bulembu","20-Feb-21",2,2021,""
"3",1302,"Museum","TM50784","Atractaspididae","Amblyodipsas","concolor","KwaZulu-Natal Purple-glossed Snake",-26.25,32.0167,3,"Blue Jay Ranch","",NA,NA,"Yes"
"4",1311,"Museum","TM79982","Atractaspididae","Amblyodipsas","concolor","KwaZulu-Natal Purple-glossed Snake",-25.915,31.1542,2,"Bulembu, 5km NE","13-Jul-95",7,1995,"Yes"
"5",1558,"Museum","TM78798","Atractaspididae","Amblyodipsas","concolor","KwaZulu-Natal Purple-glossed Snake",-26.3014,31.135,2,"Mbabane, Golf Course road near Eveni","02-Feb-94",2,1994,"Yes"
"6",1646,"Museum","TM71837","Atractaspididae","Amblyodipsas","concolor","KwaZulu-Natal Purple-glossed Snake",-26.5005,31.9678,2,"Muti Muti NR","31-Dec-91",12,1991,"Yes"
"7",4452,"Museum","DM1746","Atractaspididae","Amblyodipsas","concolor","KwaZulu-Natal Purple-glossed Snake",-26.2856,31.1336,2,"Mbabane, Dalriach North, overlooking Black Mbuluzi valley","05-Feb-09",2,2009,""
"8",4585,"iNaturalist","8412265","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.1619,31.931,1,"Lubombo","30-Jan-14",1,2014,""
"9",18,"Museum","DM680","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.3752,31.5375,3,"Mpisi","18-Nov-84",11,1984,"Yes"
"10",250,"EAF","","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26,31.757,2,"Tshaneni","11-Feb-07",2,2007,""
"11",281,"EAF","","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26,31.757,2,"Tshaneni Village","25-Feb-07",2,2007,""
"12",794,"EAF","","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.779,31.917,1,"Mhlosinga NR, rest camp","01-May-20",5,2020,""
"13",1275,"Museum","TM47642","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.6667,31.8833,3,"Bar R Ranch","",NA,NA,"Yes"
"14",1413,"Museum","TM47808","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.4251,31.8842,3,"Lukhula","",NA,NA,"Yes"
"15",1593,"Museum","TM64902","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.16,31.99,3,"Mbuluzi GR","",NA,NA,"Yes"
"16",1619,"Museum","TM80763","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.1939,31.99,2,"Mlawula NR, ridge overlooking Mlawula River","13-Jan-96",1,1996,"Yes"
"17",1776,"Museum","TM52398","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-25.99,31.717,3,"Tshaneni","",NA,NA,"Yes"
"18",1777,"Museum","TM54739","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-25.99,31.717,3,"Tshaneni","",NA,NA,"Yes"
"19",1778,"Museum","TM56604","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-25.99,31.717,3,"Tshaneni","",NA,NA,"Yes"
"20",1779,"Museum","TM56610","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-25.99,31.717,3,"Tshaneni","",NA,NA,"Yes"
"21",2438,"EAF","","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.165,31.584,2,"Dvokolwako","31-Jan-22",1,2022,""
"22",4502,"Museum","TM82998","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.0614,31.4458,2,"St. Peregrine's Mission, near","15-Apr-99",4,1999,"Yes"
"23",4506,"Museum","TM83039","Atractaspididae","Amblyodipsas","polylepis","Common Purple-glossed Snake",-26.0739,31.2628,2,"Nkomati River, N of Maguga Dam wall","15-Sep-97",9,1997,"Yes"
"24",4586,"iNaturalist","264639891","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.4739,31.1848,1,"Manzini","27-Feb-25",2,2025,""
"25",4587,"iNaturalist","256977834","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.2003,31.9791,1,"Lubombo","01-Jan-25",1,2025,""
"26",4588,"iNaturalist","195054396","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.235,31.1787,1,"Hhohho","12-Aug-22",8,2022,""
"27",4589,"iNaturalist","195054395","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.235,31.1787,1,"Hhohho","29-Aug-23",8,2023,""
"28",4590,"iNaturalist","195054389","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.235,31.1787,1,"Hhohho","07-Sep-21",9,2021,""
"29",4591,"iNaturalist","195054381","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.235,31.1787,1,"Hhohho","26-Nov-18",11,2018,""
"30",4592,"iNaturalist","191669677","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.9396,31.9788,1,"Lubombo","12-Oct-23",10,2023,""
"31",4593,"iNaturalist","188906093","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.4615,31.0201,1,"Manzini","25-Oct-23",10,2023,""
"32",4594,"iNaturalist","179168341","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.1564,31.9824,1,"Lubombo","18-Aug-23",8,2023,""
"33",4595,"iNaturalist","179832103","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.2003,31.9767,1,"Lubombo","22-Aug-23",8,2023,""
"34",8,"Museum","DM572","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.7875,31.9388,3,"Big Bend","24-Feb-84",2,1984,"Yes"
"35",975,"EAF","","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.276,31.157,2,"Pine Valley","26-Dec-20",12,2020,""
"36",990,"EAF","","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-25.948,31.133,2,"Bulembu","02-Jan-21",1,2021,""
"37",1128,"EAF","","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.4364,31.1906,2,"Ezulwini, Buhleni Farm","01-Mar-21",3,2021,""
"38",1249,"EAF","","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-25.9853,31.7151,1,"Sand River, below dam wall","29-Sep-16",9,2016,""
"39",1316,"Museum","TM78891","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-25.9672,31.1208,2,"Malolotja NR, 2km S of Bulembu","16-Jul-93",7,1993,"Yes"
"40",1388,"Museum","TM70964","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.2339,30.9903,2,"Droxford Farm, 1km S of stream","06-Jul-91",7,1991,"Yes"
"41",1398,"Museum","TM71835","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.9561,31.3353,2,"Hlatikulu, outskirts","10-Dec-91",12,1991,"Yes"
"42",1399,"Museum","TM57129","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.617,32.024,3,"Jilobi Forest, E of Lubombo Mountain","",NA,NA,"Yes"
"43",1423,"Museum","TM57129","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.35,31.56,3,"Mafuteni  (=Mafutseni), 10km NE","",NA,NA,"Yes"
"44",1466,"Museum","TM71829","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.3536,31.5419,2,"Mafutseni, 15km NE (near Transworld station)","21-Nov-91",11,1991,"Yes"
"45",1654,"Museum","TM69353","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.1347,31.1325,2,"Malolotja NR, main campsite - picnic site, between","08-Jun-88",6,1988,"Yes"
"46",1664,"Museum","TM79985","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.4406,31.1561,2,"Mantenga Falls, near","01-Sep-95",9,1995,"Yes"
"47",1679,"Museum","TM80802","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.0097,31.2541,2,"Pigg's Peak, 5km S on Nginamadola road","02-Aug-96",8,1996,"Yes"
"48",1692,"Museum","TM79991","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.2708,31.0864,2,"Mbabane, Nkoyoyo","01-Nov-95",11,1995,"Yes"
"49",1703,"Museum","TM70966","Atractaspididae","Aparallactus","capensis","Black-headed Centipede-eater",-26.0558,31.4186,2,"Piggs Peak, 25km SE on dirt road to Balegane","04-Aug-91",8,1991,"Yes"
